A_0,A_1,A_2,G_0,G_1,G_2
540,9904,13072,156,-764,206
456,9868,13656,244,-714,116
592,10116,13960,294,-304,261
380,10028,14216,89,-168,190
40,10000,14032,240,50,90
388,9912,13472,289,-363,-62
488,10068,13720,24,-269,-219
592,10232,13876,-59,-490,-284
1192,10528,13768,-198,-396,37
1416,10540,13688,-75,-55,500
1360,10608,14272,-294,-216,909
796,10728,15188,-1046,-23,1061
824,10416,15420,-1522,610,1423
1300,10292,15224,-1953,919,1914
1708,10112,15860,-2432,994,2704
1216,10736,19036,-5366,1179,3522
1248,10980,21048,-8240,3028,4625
976,11936,22712,-13283,4399,5229
1056,12084,23456,-18417,6573,6076
-276,11800,20720,-21550,9478,5810
-2696,10632,16760,-24598,10108,3730
-3380,9004,13312,-22024,7973,1352
-3980,8980,14796,-21802,4490,-1211
-2280,7980,18508,-23233,869,-1811
580,7172,17668,-20898,2591,-255
904,7112,14548,-19753,3811,-139
-1180,6344,13948,-21054,4154,-2505
-1952,4492,11404,-17783,4771,-3168
1200,3300,7620,-14398,4420,-1995
520,3700,10600,-15101,1344,-2143
-2180,3784,16736,-15616,-53,-1738
-3212,3768,19484,-14527,-120,-1033
-1460,3420,16844,-12452,800,-1071
1544,3332,15920,-12234,347,-140
648,3360,18548,-14816,799,-1265
-984,2252,18556,-13278,2054,-941
-3044,3380,19608,-14099,1963,-2282
-5512,3016,22100,-16797,1026,-4976
-5488,1936,19724,-14347,-774,-5508
-2136,788,14332,-12779,-1906,-4586
440,380,14188,-13982,-5438,-4662
604,-68,16328,-13833,-4560,-3532
1756,-204,16440,-12341,-3996,-2045
5240,-784,16420,-13000,-1878,366
3960,-1340,16400,-12596,1575,352
492,-2188,15128,-10895,3075,565
-1744,-1996,15704,-10580,2707,329
-3104,-2356,16976,-11226,1991,-715
-3416,-3136,15964,-9937,860,-242
-2372,-4156,13208,-7920,302,283
-680,-4364,12540,-6801,-1634,542
888,-5036,12496,-5298,-1518,839
716,-4400,14340,-3639,-931,557
272,-3528,17184,-3825,-473,196
128,-3500,18888,-4831,1268,705
-2008,-4096,16392,-3214,1351,462
-2848,-4144,15824,-4703,639,383
-3084,-4892,15208,-3790,-448,-222
-1728,-5504,13236,-1220,-818,246
608,-5636,13012,-516,-2307,85
992,-4940,15120,150,-2314,643
504,-4360,16548,44,-219,977
-644,-3832,17828,-357,1833,245
-356,-4128,17200,-425,2880,644
-1212,-4136,16320,-349,2279,331
-2028,-3892,17848,-1096,196,391
-2008,-4540,17008,312,-744,949
-1248,-4292,15600,1849,-1555,1069
68,-3560,18744,-799,-2359,636
-1052,-3876,19960,-4010,282,719
-1648,-4344,17468,-2401,1676,651
-2032,-4084,17256,-3931,1200,-227
-1648,-4924,17432,-4252,1571,-485
-1576,-5624,15140,-2337,1876,-126
-804,-5652,14336,-2222,1068,-187
-1600,-4868,16356,-2251,1005,-517
-2388,-4492,19100,-4083,1428,-863
-1528,-4608,18184,-3262,1354,-181
-1452,-4708,17940,-4993,1461,-708
-2144,-4748,18572,-6183,412,-900
-1204,-5744,17492,-5595,695,-44
-860,-5828,15184,-4093,886,91
200,-6184,14668,-5105,948,-92
452,-7628,11896,-2034,2888,686
-1048,-6152,13144,-1720,2416,-536
-1512,-7324,13148,-1205,4368,-540
-2700,-6380,13800,1249,3396,-857
-2296,-6476,14912,-276,2482,-945
-2588,-5468,17660,39,920,-728
-1976,-6264,16812,-26,1023,337
-876,-6820,14128,2640,-200,1214
-628,-7036,12256,3137,-243,1521
-628,-7756,10560,5911,1635,1396
-1088,-8828,6212,10976,3976,1635
-44,-10784,-2968,20626,5201,2042
376,-8844,-5796,29215,3240,2761
-1424,-5500,-4716,32767,1251,2041
-2548,-1056,-2328,32767,-1515,1915
-3880,4004,464,32767,-3618,-143
-2912,8400,4576,32767,-6866,-1420
-4484,14100,12284,32767,-12890,-3866
-2684,15600,20448,32767,-17827,-5136
-1356,13848,25628,32767,-20048,-2742
1184,15736,24956,32767,-19223,-2917
-1456,15704,24284,32767,-16111,-4734
-2020,16600,21032,32767,-12796,-8047
2880,16948,16804,32767,-13882,-9611
6912,18104,16736,32767,-10339,-8494
4332,18888,18800,32767,-5128,-8295
2940,20656,21092,32767,-4578,-7285
3884,20420,21308,28429,-1357,-4693
1444,20260,19648,18133,1183,-2943
1292,19692,18228,11239,196,-2077
1800,19520,20324,3181,145,104
3012,20444,23660,-7589,2074,2470
5632,22148,31888,-23800,2476,7076
9224,28540,32767,-32768,11119,14624
6136,32220,31124,-32768,28540,16649
2432,24632,18532,-32768,32767,11360
-144,19580,6856,-32768,30637,5870
160,15536,4292,-32768,29186,4692
-5644,13356,10420,-32768,22968,264
-7844,12164,15640,-32768,10441,357
-9696,11660,18708,-32768,7216,-1746
-12408,7332,21280,-32768,1723,-4930
-10024,8348,12280,-32768,4559,-3421
-6112,6516,8428,-32768,-2975,-7208
5200,-848,940,-32768,-1573,320
1236,-1628,956,-29199,-612,-3811
-4024,-3656,7676,-26718,-792,-7130
-4940,-3672,12604,-19722,1880,-6500
-7216,-4988,9236,-14731,5522,-11194
-9556,-7048,4996,-10831,3161,-13755
-11508,-7508,4424,-7343,-1762,-15875
-11588,-7728,5516,-5129,-7457,-18817
-8532,-7992,3440,2269,-12657,-19507
-1496,-7296,2800,8640,-18938,-18515
4332,-6284,4224,13231,-21935,-15998
7960,-5332,6376,16252,-20170,-13717
8364,-4920,6552,18168,-13312,-13257
8804,-5044,4460,20901,-10176,-13016
9872,-5048,2324,28278,-6780,-11213
9320,-2648,1272,32767,-5207,-9848
8916,596,1800,32767,-4683,-6224
10140,5312,5888,32767,-6442,-2762
12012,9868,10440,32767,-5759,1529
10404,13660,18784,32767,-6177,2648
11384,16276,29704,31490,-6037,6795
13104,16620,32767,17883,1133,11445
10832,14156,32767,12252,15647,15613
8236,12908,29288,5251,22454,18515
3432,10468,18728,-95,25084,18932
-5996,9836,16508,-3727,25126,15299
-14700,8292,18872,-5789,21533,9293
-14748,7428,20716,-5813,12416,4334
-10556,7988,25108,-11141,4705,1049
-8376,8436,29640,-16182,2572,-28
-9316,8292,28756,-19714,3838,-2709
-7812,5372,20504,-15398,6201,-6002
-9424,3584,11596,-10568,7845,-10533
-12320,2000,8032,-10835,2531,-14624
-12564,44,7664,-5844,-5108,-17801
-7644,312,9384,-97,-12716,-16318
-2476,-28,8616,6172,-16266,-13916
-1020,128,7172,10333,-17461,-12978
-8,660,6872,12678,-16823,-13214
1236,720,6396,16453,-13567,-16172
2600,820,4624,21364,-10025,-18757
4036,3104,6968,24475,-10605,-18662
4700,5012,8656,27733,-9508,-16875
6616,6936,8304,32202,-12139,-13495
10112,8616,8320,32767,-13264,-9245
10676,10280,10532,32767,-11838,-7693
9408,10716,11648,32225,-7212,-6480
8900,12100,14576,28133,-3527,-6475
10464,12860,15100,24329,3126,-5052
15760,14068,13720,21865,8046,671
15908,15924,12852,18861,14607,6381
13936,17020,13444,15067,19526,10840
11736,18332,16364,11099,21809,13743
8156,19488,19484,7599,27702,18358
-3732,19448,21180,2037,32767,17690
-2604,17580,18616,-3979,23441,18661
-3244,16424,17792,-8793,20928,18941
-5336,14056,13252,-8629,17704,17710
-4264,13056,10696,-4223,11723,16824
-1076,13084,11128,-3417,12662,17988
768,14008,16832,-6940,12282,16821
-2672,13736,20692,-9580,18584,14114
-10880,13336,18520,-9060,23486,9039
-11132,12172,13480,-9892,19240,6413
-10756,11304,10740,-9266,11826,5081
-13712,9720,10776,-9107,3281,152
-5212,9336,12772,-5927,-5735,3817
-408,9160,12756,-3366,-4332,4291
-880,9172,11944,-2065,-2192,1438
-1316,9156,12500,-2334,928,-143
-1240,9188,13240,-2274,2615,-2861
984,8640,12720,-1928,3341,-1397
-2032,9292,14312,-2457,130,-848
-1988,9252,16436,-3198,-2619,1633
-1136,9264,15480,-1606,-2189,2819
-464,9164,13688,-2042,-2124,1104
-444,8644,11580,-1433,648,8
-1372,8520,11324,-874,751,-3775
324,8116,11380,19,1318,-3023
400,8608,12348,950,84,-2883
1192,8836,13496,1290,-1068,-637
548,9556,15496,776,-2720,567
972,9632,16448,321,-1961,1610
-536,9872,15952,478,-278,637
-860,9396,14436,80,-380,-370
-560,9316,13836,-290,195,-715
68,9024,13156,244,364,-967
-1280,9024,12388,609,838,-1210
-1136,8700,12688,832,-1198,-1523
384,8980,13036,1908,-771,-626
1144,9568,13524,1902,-1673,-322
284,10144,15732,368,-1734,422
236,9876,16932,-232,-770,612
-488,9824,15484,183,968,154
-1192,9760,14180,36,426,-780
-760,9428,13988,-598,156,-883
-800,9392,14140,-638,-652,-1434
1464,8944,12480,284,-188,527
592,9408,12824,497,-787,-291
648,9260,13636,74,-398,257
284,9344,13924,800,286,252
-372,9364,13916,857,546,-198
-828,9180,14272,698,-37,-35
-1240,9196,14308,828,-506,-388
